Dish_Name,Cuisine_Type,Veg_Non,Describe,Spice_Level,Sugar_Level,Dish_Category,Food_ID,Weather_Type
Sweet & Spicy White Cheddar Cheese Ball with apples & Bacon,Unknown,Non-Vegetarian,"Sweet & Spicy White Cheddar Cheese Ball with apples & Bacon could be just the <b>gluten free</b> recipe you've been looking for. This recipe serves 24. This hor d'oeuvre has <b>123 calories</b>, <b>5g of protein</b>, and <b>11g of fat</b> per serving. For <b>47 cents per serving</b>, this recipe <b>covers 3%</b> of your daily requirements of vitamins and minerals. A couple people made this recipe, and 18 would say it hit the spot. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by Foodista. If you have apple, applejack brandy, cayenne pepper, and a few other ingredients on hand, you can make it. Taking all factors into account, this recipe <b>earns a spoonacular score of 19%</b>, which is not so outstanding. Similar recipes are <a href=""https://spoonacular.com/recipes/bacon-cheddar-cheese-ball-554176"">Bacon Cheddar Cheese Ball</a>, <a href=""https://spoonacular.com/recipes/cheddar-bacon-cheese-ball-1116481"">Cheddar Bacon Cheese Ball</a>, and <a href=""https://spoonacular.com/recipes/bacon-cheddar-cheese-ball-107467"">Bacon-Cheddar Cheese Ball</a>.",1,4,"antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre",46,Hot
Cheesy Chicken Enchilada Quinoa Casserole,Mexican,Non-Vegetarian,"Cheesy Chicken Enchilada Quinoa Casserole might be just the <b>Mexican</b> recipe you are searching for. One serving contains <b>594 calories</b>, <b>34g of protein</b>, and <b>24g of fat</b>. This gluten free recipe serves 4 and costs <b>$2.62 per serving</b>. A mixture of corn, pepper, canned tomatoes, and a handful of other ingredients are all it takes to make this recipe so delicious. From preparation to the plate, this recipe takes approximately <b>30 minutes</b>. It will be a hit at your <b>Autumn</b> event. Plenty of people made this recipe, and 9912 would say it hit the spot. It works well as an affordable main course. It is brought to you by Pink When. With a spoonacular <b>score of 97%</b>, this dish is amazing. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/cheesy-chicken-enchilada-quinoa-casserole-1317125"">Cheesy Chicken Enchilada Quinoa Casserole</a>, <a href=""https://spoonacular.com/recipes/cheesy-chicken-enchilada-quinoa-casserole-1340231"">Cheesy Chicken Enchilada Quinoa Casserole</a>, and <a href=""https://spoonacular.com/recipes/cheesy-chicken-enchilada-quinoa-casserole-1280325"">Cheesy Chicken Enchilada Quinoa Casserole</a>.",4,1,"side dish, lunch, main course, main dish, dinner",47,Cold
White Chocolate Cherry Hand Pies,Unknown,Non-Vegetarian,"The recipe White Chocolate Cherry Hand Pies can be made <b>in about 45 minutes</b>. This recipe serves 10. One portion of this dish contains around <b>8g of protein</b>, <b>24g of fat</b>, and a total of <b>410 calories</b>. For <b>88 cents per serving</b>, this recipe <b>covers 10%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista has 9 fans. Only a few people really liked this hor d'oeuvre. Head to the store and pick up chocolate chips, salt, all purpose flour, and a few other things to make it today. With a spoonacular <b>score of 31%</b>, this dish is not so excellent. Similar recipes include <a href=""https://spoonacular.com/recipes/easy-cranberry-hand-pies-with-white-chocolate-drizzle-810495"">Easy Cranberry Hand Pies with White Chocolate Drizzle</a>, <a href=""https://spoonacular.com/recipes/easy-cranberry-hand-pies-with-white-chocolate-drizzle-527052"">Easy Cranberry Hand Pies with White Chocolate Drizzle</a>, and <a href=""https://spoonacular.com/recipes/cherry-hand-pies-330513"">Cherry Hand Pies</a>.",4,3,"antipasti, starter, dessert, snack, appetizer, antipasto, hor d'oeuvre",48,Hot
Brussels Sprout Carbonara with Fettuccini,Mediterranean,Non-Vegetarian,"You can never have too many main course recipes, so give Brussels Sprout Carbonara with Fettuccini a try. For <b>$2.87 per serving</b>, this recipe <b>covers 30%</b> of your daily requirements of vitamins and minerals. One serving contains <b>549 calories</b>, <b>38g of protein</b>, and <b>17g of fat</b>. This recipe serves 4. Head to the store and pick up lots of pepper, 5 oz. parmesan cheese, eggs, and a few other things to make it today. Only a few people made this recipe, and 2 would say it hit the spot. This recipe is typical of Mediterranean cuisine. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 67%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/brussels-sprout-carbonara-with-fettuccini-1254795"">Brussels Sprout Carbonara with Fettuccini</a>, <a href=""https://spoonacular.com/recipes/brussels-sprout-carbonara-with-fettuccini-1254983"">Brussels Sprout Carbonara with Fettuccini</a>, and <a href=""https://spoonacular.com/recipes/brussels-sprout-carbonara-with-fettuccini-1307089"">Brussels Sprout Carbonara with Fettuccini</a> for similar recipes.",3,0,"lunch, main course, main dish, dinner",49,Hot
Authentic Italian Biscotti,Mediterranean,Vegetarian,"You can never have too many Mediterranean recipes, so give Authentic Italian Biscotti a try. This dessert has <b>54 calories</b>, <b>1g of protein</b>, and <b>2g of fat</b> per serving. This dairy free and lacto ovo vegetarian recipe serves 60 and costs <b>10 cents per serving</b>. It is brought to you by Foodista. 24 people were glad they tried this recipe. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. If you have almond extract, baking powder, almonds, and a few other ingredients on hand, you can make it. Taking all factors into account, this recipe <b>earns a spoonacular score of 26%</b>, which is rather bad. Try <a href=""https://spoonacular.com/recipes/authentic-italian-tiramisu-843027"">Authentic Italian Tiramisu</a>, <a href=""https://spoonacular.com/recipes/the-secret-to-authentic-italian-bolognese-sauce-1039949"">The Secret to Authentic Italian Bolognese Sauce</a>, and <a href=""https://spoonacular.com/recipes/authentic-italian-gluten-free-spaghetti-sauce-562773"">Authentic Italian Gluten Free Spaghetti Sauce</a> for similar recipes.",2,2,dessert,50,Cold
Tomato and Eggplant Caponata,Unknown,Vegetarian,"Tomato and Eggplant Caponatan is a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> side dish. One serving contains <b>86 calories</b>, <b>2g of protein</b>, and <b>5g of fat</b>. This recipe serves 10 and costs 82 cents per serving. If you have ground cumin, eggplants, capers, and a few other ingredients on hand, you can make it. It is brought to you by foodandspice.blogspot.com. 53 people were glad they tried this recipe. From preparation to the plate, this recipe takes about <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 56%</b>, which is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/eggplant-caponata-23450"">Eggplant Caponata</a>, <a href=""https://spoonacular.com/recipes/eggplant-caponata-23406"">Eggplant Caponata</a>, and <a href=""https://spoonacular.com/recipes/eggplant-caponata-12438"">Eggplant Caponata</a>.",0,2,side dish,51,Rainy
Mediterranean Herb Dip,Unknown,Non-Vegetarian,"Need a <b>gluten free hor d'oeuvre</b>? Mediterranean Herb Dip could be an awesome recipe to try. This recipe makes 4 servings with <b>445 calories</b>, <b>17g of protein</b>, and <b>28g of fat</b> each. For <b>$6.01 per serving</b>, this recipe <b>covers 33%</b> of your daily requirements of vitamins and minerals. 11 person found this recipe to be scrumptious and satisfying. If you have tabasco hot sauce, bar of cream cheese, garlic cloves, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes around <b>45 minutes</b>. <b>The Super Bowl</b> will be even more special with this recipe. It is brought to you by Foodista. With a spoonacular <b>score of 89%</b>, this dish is tremendous. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/mediterranean-herb-rub-46951"">Mediterranean Herb Rub</a>, <a href=""https://spoonacular.com/recipes/herb-roasted-mediterranean-vegetables-278200"">Herb-Roasted Mediterranean Vegetables</a>, and <a href=""https://spoonacular.com/recipes/mediterranean-herb-baked-chicken-111651"">Mediterranean Herb Baked Chicken</a>.",3,2,"antipasti, condiment, starter, snack, appetizer, dip, antipasto, hor d'oeuvre, spread",52,Cold
Smooth Bloody Mary,Unknown,Non-Vegetarian,"Smooth Bloody Mary takes around <b>45 minutes</b> from beginning to end. Watching your figure? This gluten free and dairy free recipe has <b>97 calories</b>, <b>1g of protein</b>, and <b>1g of fat</b> per serving. This recipe serves 1. For <b>$2.5 per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. It is brought to you by Foodista. Not a lot of people really liked this side dish. 2 people have tried and liked this recipe. Head to the store and pick up celery stalks, juice of lemon, vodka, and a few other things to make it today. All things considered, we decided this recipe <b>deserves a spoonacular score of 33%</b>. This score is not so excellent. Similar recipes are <a href=""https://spoonacular.com/recipes/the-best-bloody-mary-and-make-your-own-bloody-mary-bar-667047"">The Best Bloody Mary and Make Your Own Bloody Mary Bar</a>, <a href=""https://spoonacular.com/recipes/the-best-bloody-mary-and-make-your-own-bloody-mary-bar-1202209"">The Best Bloody Mary and Make Your Own Bloody Mary Bar</a>, and <a href=""https://spoonacular.com/recipes/the-best-bloody-mary-build-your-own-bloody-mary-bar-1608263"">The Best Bloody Mary (+ Build Your Own Bloody Mary Bar)</a>.",4,4,side dish,53,Hot
Eggless Blueberry and White Chocolate Baked Cheesecake,Unknown,Non-Vegetarian,"The recipe Eggless Blueberry and White Chocolate Baked Cheesecake can be made <b>in about 1 hour and 30 minutes</b>. This recipe makes 12 servings with <b>587 calories</b>, <b>11g of protein</b>, and <b>37g of fat</b> each. For <b>$1.25 per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. A mixture of vanillan extract, ricotta cheese, lemon juice, and a handful of other ingredients are all it takes to make this recipe so delicious. A couple people really liked this dessert. 17 people were glad they tried this recipe. It is brought to you by Foodista. With a spoonacular <b>score of 24%</b>, this dish is not so great. Similar recipes include <a href=""https://spoonacular.com/recipes/eggless-blueberry-and-white-chocolate-baked-cheesecake-1433451"">Eggless Blueberry and White Chocolate Baked Cheesecake</a>, <a href=""https://spoonacular.com/recipes/white-chocolate-blueberry-cheesecake-543349"">White Chocolate Blueberry Cheesecake</a>, and <a href=""https://spoonacular.com/recipes/blueberry-and-white-chocolate-cheesecake-51501"">Blueberry And White Chocolate Cheesecake</a>.",4,2,dessert,54,Hot
Roasted Asparagus With Bacon and Feta Cheese,Unknown,Non-Vegetarian,"The recipe Roasted Asparagus With Bacon and Feta Cheese can be made <b>in around 45 minutes</b>. One serving contains <b>213 calories</b>, <b>6g of protein</b>, and <b>20g of fat</b>. For <b>88 cents per serving</b>, you get a side dish that serves 6. It is brought to you by Foodista. 3 people found this recipe to be flavorful and satisfying. Head to the store and pick up salt and pepper, bacon, feta cheese, and a few other things to make it today. It is perfect for <b>Easter</b>. It is a good option if you're following a <b>gluten free and primal</b> diet. Taking all factors into account, this recipe <b>earns a spoonacular score of 25%</b>, which is rather bad. Try <a href=""https://spoonacular.com/recipes/roasted-asparagus-with-feta-cheese-315678"">Roasted Asparagus with Feta Cheese</a>, <a href=""https://spoonacular.com/recipes/roasted-asparagus-quinoa-salad-with-feta-cheese-521842"">Roasted Asparagus Quinoa Salad with Feta Cheese</a>, and <a href=""https://spoonacular.com/recipes/roasted-asparagus-with-goat-cheese-and-bacon-115507"">Roasted Asparagus with Goat Cheese and Bacon</a> for similar recipes.",2,4,side dish,55,Hot
Dad’s Breakfast Polenta,Unknown,Non-Vegetarian,"Dad’s Breakfast Polenta could be just the <b>gluten free</b> recipe you've been looking for. For <b>$1.92 per serving</b>, you get a breakfast that serves 4. One portion of this dish contains around <b>13g of protein</b>, <b>14g of fat</b>, and a total of <b>358 calories</b>. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. 3 people have made this recipe and would make it again. This recipe from Foodista requires chicken stock, polenta, bacon, and turkey sausage. All things considered, we decided this recipe <b>deserves a spoonacular score of 42%</b>. This score is solid. <a href=""https://spoonacular.com/recipes/dads-breakfast-polenta-1374269"">Dad’s Breakfast Polenta</a>, <a href=""https://spoonacular.com/recipes/dads-breakfast-pizza-471812"">Dad's Breakfast Pizza</a>, and <a href=""https://spoonacular.com/recipes/steak-and-eggs-breakfast-for-dad-553789"">Steak and Eggs: Breakfast for Dad</a> are very similar to this recipe.",5,1,"morning meal, brunch, breakfast",56,Rainy
Gluten Free Dairy Free Buttermilk Biscuits,Southern,Vegetarian,"If you want to add more <b>gluten free, lacto ovo vegetarian, and fodmap friendly</b> recipes to your repertoire, Gluten Free Dairy Free Buttermilk Biscuits might be a recipe you should try. This side dish has <b>205 calories</b>, <b>5g of protein</b>, and <b>15g of fat</b> per serving. This recipe serves 12. For <b>61 cents per serving</b>, this recipe <b>covers 2%</b> of your daily requirements of vitamins and minerals. 20 people were impressed by this recipe. This recipe is typical of Southern cuisine. If you have buttermilk, salt, xanthan gum, and a few other ingredients on hand, you can make it. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 13%</b>, which is rather bad. <a href=""https://spoonacular.com/recipes/thousand-island-dressing-gluten-free-corn-free-dairy-free-soy-free-nut-free-gum-free-and-refined-sugar-free-512186"">Thousand Island Dressing (Gluten-Free, Corn-Free, Dairy-Free, Soy-Free, Nut-Free, Gum-Free and Refined Sugar-Free)</a>, <a href=""https://spoonacular.com/recipes/gluten-free-slow-cooker-chicken-with-buttermilk-mashed-potatoes-dairy-free-1170373"">Gluten Free Slow Cooker Chicken with Buttermilk Mashed Potatoes (Dairy-Free)</a>, and <a href=""https://spoonacular.com/recipes/cream-biscuits-and-gravy-dairy-free-gluten-free-sneaky-709417"">Cream Biscuits and Gravy: Dairy-Free, Gluten-Free & Sneaky</a> are very similar to this recipe.",4,5,side dish,57,Rainy
Soy Ginger Glazed Halibut with Ginger Peach Relish,Unknown,Non-Vegetarian,"Soy Ginger Glazed Halibut with Ginger Peach Relish requires about <b>45 minutes</b> from start to finish. Watching your figure? This gluten free, dairy free, and pescatarian recipe has <b>382 calories</b>, <b>49g of protein</b>, and <b>10g of fat</b> per serving. For <b>$9.02 per serving</b>, this recipe <b>covers 31%</b> of your daily requirements of vitamins and minerals. This recipe serves 2. If you have olive oil, ginger, halibut fillets, and a few other ingredients on hand, you can make it. It works well as a main course. 58 people have tried and liked this recipe. It is brought to you by Foodista. Overall, this recipe earns an <b>excellent spoonacular score of 93%</b>. <a href=""https://spoonacular.com/recipes/halibut-with-soy-ginger-dressing-3309"">Halibut with Soy-Ginger Dressing</a>, <a href=""https://spoonacular.com/recipes/halibut-with-pineapple-soy-ginger-sauce-a-le-creuset-giveaway-606037"">Halibut with Pineapple Soy Ginger Sauce + a Le Creuset Giveaway</a>, and <a href=""https://spoonacular.com/recipes/ginger-soy-glazed-salmon-482419"">Ginger Soy Glazed Salmon</a> are very similar to this recipe.",2,4,"lunch, main course, main dish, dinner",58,Cold
Minestrone,Mediterranean,Non-Vegetarian,"You can never have too many Mediterranean recipes, so give Minestrone a try. Watching your figure? This gluten free recipe has <b>403 calories</b>, <b>15g of protein</b>, and <b>12g of fat</b> per serving. This recipe serves 9 and costs $1.35 per serving. From preparation to the plate, this recipe takes around <b>45 minutes</b>. This recipe from Foodista requires salt, pepper, potatoes, and canned tomatoes. 2 people have tried and liked this recipe. It works well as an affordable main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 78%</b>. This score is good. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/the-vegetable-broth-and-the-minestrone-le-bouillon-de-lgumes-et-la-minestrone-36756"">The Vegetable Broth and the Minestrone — Le bouillon de légumes et la minestrone</a>, <a href=""https://spoonacular.com/recipes/minestrone-106043"">Minestrone</a>, and <a href=""https://spoonacular.com/recipes/minestrone-106048"">Minestrone</a>.",2,2,"lunch, soup, main course, main dish, dinner",59,Rainy
Jalapeno Cheese Quick Bread,Unknown,Vegetarian,"The recipe Jalapeno Cheese Quick Bread can be made <b>in around 45 minutes</b>. For <b>22 cents per serving</b>, this recipe <b>covers 6%</b> of your daily requirements of vitamins and minerals. Watching your figure? This lacto ovo vegetarian recipe has <b>114 calories</b>, <b>5g of protein</b>, and <b>5g of fat</b> per serving. This recipe serves 12. 36 people found this recipe to be scrumptious and satisfying. It is brought to you by Foodista. Head to the store and pick up unbleached all purpose flour, pickled jalapenos, olive oil, and a few other things to make it today. It works well as a very budget friendly breakfast. Overall, this recipe earns a <b>pretty good spoonacular score of 49%</b>. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/jalapeo-corn-beer-quick-bread-142141"">Jalapeño-Corn-Beer Quick Bread</a>, <a href=""https://spoonacular.com/recipes/jalapeo-summer-squash-quick-bread-for-669814"">Jalapeño Summer Squash Quick Bread for</a>, and <a href=""https://spoonacular.com/recipes/quick-bacon-jalapeo-cheese-ball-1132160"">QUICK Bacon Jalapeño Cheese Ball</a>.",3,1,"morning meal, brunch, breakfast",60,Hot
Tomato and lentil soup,Unknown,Vegetarian,"Tomato and lentil soup might be a good recipe to expand your main course recipe box. This recipe makes 4 servings with <b>340 calories</b>, <b>18g of protein</b>, and <b>8g of fat</b> each. For <b>$1.16 per serving</b>, this recipe <b>covers 34%</b> of your daily requirements of vitamins and minerals. It is perfect for <b>Autumn</b>. This recipe from Foodista requires bay leaf, onion, garlic, and carrots. 11 person were glad they tried this recipe. From preparation to the plate, this recipe takes about <b>45 minutes</b>. It is a good option if you're following a <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> diet. With a spoonacular <b>score of 96%</b>, this dish is great. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/tomato-and-lentil-soup-482854"">Tomato and Lentil Soup</a>, <a href=""https://spoonacular.com/recipes/lentil-tomato-soup-398380"">Lentil-Tomato Soup</a>, and <a href=""https://spoonacular.com/recipes/lentil-tomato-soup-108370"">Lentil & Tomato Soup</a>.",4,5,"lunch, soup, main course, main dish, dinner",61,Cold
Delicious Sausage & Peppers,Unknown,Non-Vegetarian,"You can never have too many main course recipes, so give Delicious Sausage & Peppers a try. This recipe serves 8. One portion of this dish contains approximately <b>17g of protein</b>, <b>49g of fat</b>, and a total of <b>543 calories</b>. For <b>$1.62 per serving</b>, this recipe <b>covers 18%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista requires sausages, garlic - crushed&, olive oil, and sausages. This recipe is liked by 3 foodies and cooks. From preparation to the plate, this recipe takes around <b>30 minutes</b>. It is a good option if you're following a <b>gluten free, dairy free, paleolithic, and primal</b> diet. With a spoonacular <b>score of 61%</b>, this dish is pretty good. Users who liked this recipe also liked <a href=""https://spoonacular.com/recipes/healthy-delicious-sausage-apple-and-cranberry-stuffing-48055"">Healthy & Delicious: Sausage, Apple, and Cranberry Stuffing</a>, <a href=""https://spoonacular.com/recipes/healthy-delicious-swiss-chard-and-turkey-sausage-over-polenta-207456"">Healthy & Delicious: Swiss Chard and Turkey Sausage Over Polenta</a>, and <a href=""https://spoonacular.com/recipes/healthy-delicious-turkey-sausage-and-arugula-with-whole-wheat-pasta-8281"">Healthy & Delicious: Turkey Sausage and Arugula with Whole-Wheat Pasta</a>.",2,5,"lunch, main course, main dish, dinner",62,Rainy
Fried String Cheese Sticks,Unknown,Vegetarian,"Fried String Cheese Sticks requires about <b>45 minutes</b> from start to finish. For <b>$3.09 per serving</b>, you get a hor d'oeuvre that serves 1. One serving contains <b>710 calories</b>, <b>38g of protein</b>, and <b>32g of fat</b>. 2 people have made this recipe and would make it again. It is a good option if you're following a <b>lacto ovo vegetarian</b> diet. Head to the store and pick up individual string cheese sticks, vegetable oil, egg +2 water, and a few other things to make it today. It is brought to you by Foodista. Overall, this recipe earns a <b>solid spoonacular score of 46%</b>. Try <a href=""https://spoonacular.com/recipes/fried-string-cheese-sticks-1396767"">Fried String Cheese Sticks</a>, <a href=""https://spoonacular.com/recipes/fried-cheese-sticks-245493"">Fried Cheese Sticks</a>, and <a href=""https://spoonacular.com/recipes/fried-cheese-sticks-477354"">Fried Cheese Sticks</a> for similar recipes.",0,0,"fingerfood, antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre",63,Hot
Quick Chicken Enchilada Soup,Mexican,Non-Vegetarian,"If you have approximately <b>45 minutes</b> to spend in the kitchen, Quick Chicken Enchilada Soup might be a super <b>gluten free</b> recipe to try. One serving contains <b>646 calories</b>, <b>34g of protein</b>, and <b>25g of fat</b>. This recipe serves 4 and costs $2.34 per serving. 92 people found this recipe to be yummy and satisfying. It is a <b>rather cheap</b> recipe for fans of Mexican food. <b>Autumn</b> will be even more special with this recipe. It is brought to you by Foodista. Head to the store and pick up cheese, milk, enchilada sauce, and a few other things to make it today. It works well as a main course. All things considered, we decided this recipe <b>deserves a spoonacular score of 76%</b>. This score is solid. Similar recipes are <a href=""https://spoonacular.com/recipes/quick-dinner-ideas-cheesy-chicken-enchilada-soup-929217"">Quick Dinner Ideas: Cheesy Chicken Enchilada Soup</a>, <a href=""https://spoonacular.com/recipes/quick-and-easy-pressure-cooker-chicken-enchilada-soup-1193815"">Quick and Easy Pressure Cooker Chicken Enchilada Soup</a>, and <a href=""https://spoonacular.com/recipes/quick-and-easy-pressure-cooker-chicken-enchilada-soup-616244"">Quick and Easy Pressure Cooker Chicken Enchilada Soup</a>.",4,0,"lunch, soup, main course, main dish, dinner",64,Cold
Beef With Oranges and Spices,Unknown,Non-Vegetarian,"Beef With Oranges and Spices takes roughly <b>45 minutes</b> from beginning to end. For <b>$6.37 per serving</b>, you get a main course that serves 4. One serving contains <b>411 calories</b>, <b>32g of protein</b>, and <b>29g of fat</b>. 4 people were glad they tried this recipe. This recipe from Foodista requires olive oil, beef, garlic, and cumin. It is a good option if you're following a <b>gluten free, dairy free, whole 30, and ketogenic</b> diet. All things considered, we decided this recipe <b>deserves a spoonacular score of 65%</b>. This score is good. Similar recipes are <a href=""https://spoonacular.com/recipes/beef-curry-with-toasted-spices-221972"">Beef Curry with Toasted Spices</a>, <a href=""https://spoonacular.com/recipes/seared-beef-and-oranges-with-arugula-8478"">Seared Beef And Oranges With Arugula</a>, and <a href=""https://spoonacular.com/recipes/beef-tenderloin-with-aromatic-thai-spices-81763"">Beef Tenderloin with Aromatic Thai Spices</a>.",2,1,"lunch, main course, main dish, dinner",65,Hot
One Bowl Jalapeno Cheddar Cornbread,Southern,Vegetarian,"One Bowl Jalapeno Cheddar Cornbread requires about <b>45 minutes</b> from start to finish. For <b>84 cents per serving</b>, this recipe <b>covers 13%</b> of your daily requirements of vitamins and minerals. This recipe serves 6. One portion of this dish contains roughly <b>13g of protein</b>, <b>26g of fat</b>, and a total of <b>527 calories</b>. A mixture of jalapenos, salt, jalapeno, and a handful of other ingredients are all it takes to make this recipe so yummy. A few people really liked this Southern dish. 36 people have tried and liked this recipe. It works well as a bread. It is a good option if you're following a <b>lacto ovo vegetarian</b> diet. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 44%</b>. This score is pretty good. Try <a href=""https://spoonacular.com/recipes/jalapeo-cheddar-cornbread-587899"">Jalapeño Cheddar Cornbread</a>, <a href=""https://spoonacular.com/recipes/jalapeo-cheddar-cornbread-507587"">Jalapeño Cheddar Cornbread</a>, and <a href=""https://spoonacular.com/recipes/jalapeno-and-cheddar-cornbread-545975"">Jalapeno and Cheddar Cornbread</a> for similar recipes.",2,0,bread,66,Hot
Dairy Free Chicken Salad,Unknown,Non-Vegetarian,"You can never have too many main course recipes, so give Dairy Free Chicken Salad a try. This gluten free, dairy free, fodmap friendly, and ketogenic recipe serves 4 and costs <b>$2.9 per serving</b>. One portion of this dish contains roughly <b>40g of protein</b>, <b>33g of fat</b>, and a total of <b>487 calories</b>. From preparation to the plate, this recipe takes around <b>45 minutes</b>. 2 people found this recipe to be delicious and satisfying. If you have salt, dill pickles, paprika, and a few other ingredients on hand, you can make it. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 55%</b>. This score is good. Similar recipes are <a href=""https://spoonacular.com/recipes/gluten-free-dairy-free-sugar-free-chinese-chicken-salad-1364955"">Gluten Free Dairy Free Sugar Free Chinese Chicken Salad</a>, <a href=""https://spoonacular.com/recipes/gluten-free-dairy-free-sugar-free-chinese-chicken-salad-644826"">Gluten Free Dairy Free Sugar Free Chinese Chicken Salad</a>, and <a href=""https://spoonacular.com/recipes/chili-lime-chicken-salad-paleo-gf-dairy-free-refined-sugar-free-867074"">Chili Lime Chicken Salad (Paleo, GF, Dairy-Free + Refined Sugar-Free)</a>.",4,2,"lunch, main course, main dish, dinner",67,Rainy
"Sweet Potato, Kale & White Bean Soup",Unknown,Vegetarian,"If you want to add more <b>gluten free, dairy free, lacto ovo vegetarian, and vegan</b> recipes to your recipe box, Sweet Potato, Kale & White Bean Soup might be a recipe you should try. This recipe serves 4. One portion of this dish contains roughly <b>10g of protein</b>, <b>4g of fat</b>, and a total of <b>261 calories</b>. For <b>$1.81 per serving</b>, this recipe <b>covers 23%</b> of your daily requirements of vitamins and minerals. 2 people were impressed by this recipe. It works well as a reasonably priced hor d'oeuvre. <b>Autumn</b> will be even more special with this recipe. A mixture of white wine, cannellini beans, onion, and a handful of other ingredients are all it takes to make this recipe so scrumptious. It is brought to you by Foodista. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. Overall, this recipe earns a <b>spectacular spoonacular score of 87%</b>. <a href=""https://spoonacular.com/recipes/sweet-potato-kale-white-bean-soup-1367305"">Sweet Potato, Kale & White Bean Soup</a>, <a href=""https://spoonacular.com/recipes/kale-white-bean-and-sweet-potato-soup-15319"">Kale, White Bean, And Sweet Potato Soup</a>, and <a href=""https://spoonacular.com/recipes/spiralized-sweet-potato-white-bean-and-kale-bake-837354"">Spiralized Sweet Potato, White Bean and Kale Bake</a> are very similar to this recipe.",5,2,"antipasti, soup, starter, snack, appetizer, antipasto, hor d'oeuvre",68,Hot
Easy Shepherd's Pie (Beef And/or Lamb Combo),English,Non-Vegetarian,"Easy Shepherd's Pie (Beef And/or Lamb Combo) takes roughly <b>45 minutes</b> from beginning to end. This recipe makes 6 servings with <b>644 calories</b>, <b>29g of protein</b>, and <b>43g of fat</b> each. For <b>$1.86 per serving</b>, this recipe <b>covers 28%</b> of your daily requirements of vitamins and minerals. It works well as a rather cheap main course. Not a lot of people made this recipe, and 2 would say it hit the spot. Head to the store and pick up onion, flour, cream cheese, and a few other things to make it today. It is brought to you by Foodista. This recipe is typical of European cuisine. Overall, this recipe earns a <b>solid spoonacular score of 71%</b>. <a href=""https://spoonacular.com/recipes/easy-shepherds-pie-beef-and-or-lamb-combo-1203469"">Easy Shepherd's Pie (Beef And/or Lamb Combo)</a>, <a href=""https://spoonacular.com/recipes/easy-shepherds-pie-beef-and-or-lamb-combo-1613891"">Easy Shepherd's Pie (Beef And/or Lamb Combo)</a>, and <a href=""https://spoonacular.com/recipes/beef-and-lamb-shepherds-pie-743566"">Beef-and-Lamb Shepherd's Pie</a> are very similar to this recipe.",1,5,"lunch, main course, main dish, dinner",69,Cold
Easy Vegetable Fried Rice,Chinese,Vegetarian,"The recipe Easy Vegetable Fried Rice can be made <b>in approximately 20 minutes</b>. This hor d'oeuvre has <b>236 calories</b>, <b>7g of protein</b>, and <b>10g of fat</b> per serving. This recipe serves 4. For <b>64 cents per serving</b>, this recipe <b>covers 12%</b> of your daily requirements of vitamins and minerals. A mixture of green beans, soy sauce, carrots, and a handful of other ingredients are all it takes to make this recipe so flavorful. It is a good option if you're following a <b>gluten free and lacto ovo vegetarian</b> diet. 13 people were impressed by this recipe. It is brought to you by Foodista. This recipe is typical of Chinese cuisine. Overall, this recipe earns a <b>solid spoonacular score of 47%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/quick-and-easy-vegetable-fried-rice-1688135"">Quick and easy vegetable fried rice</a>, <a href=""https://spoonacular.com/recipes/quick-and-easy-vegetable-fried-rice-1332007"">Quick and easy vegetable fried rice</a>, and <a href=""https://spoonacular.com/recipes/quick-and-easy-vegetable-fried-rice-679854"">Quick and easy vegetable fried rice</a>.",3,0,"side dish, antipasti, starter, snack, appetizer, antipasto, hor d'oeuvre",70,Hot
